node_id,node_type,activation_year,coverage_gain_pct,drive_time_reduction_hr,best_outbound_detour_ratio
METRO_DE_marienthal,PERI_URBAN_HUB,2030,,,1.002
METRO_CH_basel,PERI_URBAN_HUB,2030,,,1.0
METRO_RO_cluj_napoca,PERI_URBAN_HUB,2030,,,1.0
METRO_DE_wiesbaden,PERI_URBAN_HUB,2030,,,1.0
METRO_AT_graz,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_69,RELAY_HUB,2030,,,
RELAY_2030_142,RELAY_HUB,2030,,,
RELAY_2030_161,RELAY_HUB,2030,,,
RELAY_2030_36,RELAY_HUB,2030,,,
METRO_ES_puente_de_vallecas,PERI_URBAN_HUB,2030,,,1.0
METRO_CY_nicosia,PERI_URBAN_HUB,2030,,,
METRO_DE_luebeck,PERI_URBAN_HUB,2030,,,1.0
METRO_ES_gijon,PERI_URBAN_HUB,2030,,,1.004
NONMETRO_NO,DEMAND_NONMETRO,2030,,,
RELAY_2030_39,RELAY_HUB,2030,,,
RELAY_2030_50,RELAY_HUB,2030,,,
METRO_IT_cagliari,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_28,RELAY_HUB,2030,,,
METRO_LU_luxembourg,PERI_URBAN_HUB,2030,,,1.0
METRO_ES_badalona,PERI_URBAN_HUB,2030,,,1.001
METRO_AT_linz,PERI_URBAN_HUB,2030,,,1.0
METRO_IT_bari,PERI_URBAN_HUB,2030,,,1.003
METRO_DE_hagen,PERI_URBAN_HUB,2030,,,1.0
METRO_IT_modena,PERI_URBAN_HUB,2030,,,1.0
METRO_ES_san_sebastian,PERI_URBAN_HUB,2030,,,1.0
METRO_AT_donaustadt,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_13,RELAY_HUB,2030,,,
RELAY_2030_42,RELAY_HUB,2030,,,
RELAY_2030_11,RELAY_HUB,2030,,,
RELAY_2030_10,RELAY_HUB,2030,,,
METRO_PL_radom,PERI_URBAN_HUB,2030,,,1.0
METRO_AT_vienna,PERI_URBAN_HUB,2030,,,1.001
RELAY_2030_73,RELAY_HUB,2030,,,
RELAY_2030_134,RELAY_HUB,2030,,,
METRO_PL_krakow,PERI_URBAN_HUB,2030,,,1.0
METRO_PL_kielce,PERI_URBAN_HUB,2030,,,1.0
METRO_IT_messina,PERI_URBAN_HUB,2030,,,1.025
METRO_ES_barcelona,PERI_URBAN_HUB,2030,,,1.001
METRO_FR_avignon,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_0,RELAY_HUB,2030,,,
METRO_NO_oslo,PERI_URBAN_HUB,2030,,,1.0
METRO_RO_iasi,PERI_URBAN_HUB,2030,,,1.034
RELAY_2030_135,RELAY_HUB,2030,,,
METRO_DE_karlsruhe,PERI_URBAN_HUB,2030,,,1.0
METRO_LT_vilnius,PERI_URBAN_HUB,2030,,,1.01
METRO_ES_lhospitalet_de_llobregat,PERI_URBAN_HUB,2030,,,1.0
METRO_IT_prato,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_8,RELAY_HUB,2030,,,
RELAY_2030_79,RELAY_HUB,2030,,,
RELAY_2030_98,RELAY_HUB,2030,,,
METRO_PL_sosnowiec,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_80,RELAY_HUB,2030,,,
METRO_SE_malmo,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_105,RELAY_HUB,2030,,,
METRO_ES_valladolid,PERI_URBAN_HUB,2030,,,1.0
METRO_DE_oberhausen,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_116,RELAY_HUB,2030,,,
RELAY_2030_23,RELAY_HUB,2030,,,
METRO_ES_las_palmas_de_gran_canaria,PERI_URBAN_HUB,2030,,,
METRO_DE_duesseldorf,PERI_URBAN_HUB,2030,,,1.0
METRO_FR_nantes,PERI_URBAN_HUB,2030,,,1.005
METRO_IT_brescia,PERI_URBAN_HUB,2030,,,1.0
METRO_DE_magdeburg,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_1,RELAY_HUB,2030,,,
METRO_PL_lublin,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_65,RELAY_HUB,2030,,,
METRO_ES_alcala_de_henares,PERI_URBAN_HUB,2030,,,1.0
METRO_IT_palermo,PERI_URBAN_HUB,2030,,,1.19
METRO_FR_strasbourg,PERI_URBAN_HUB,2030,,,1.0
METRO_IT_verona,PERI_URBAN_HUB,2030,,,1.0
METRO_ES_eixample,PERI_URBAN_HUB,2030,,,1.001
RELAY_2030_5,RELAY_HUB,2030,,,
RELAY_2030_109,RELAY_HUB,2030,,,
RELAY_2030_68,RELAY_HUB,2030,,,
METRO_RO_ploiesti,PERI_URBAN_HUB,2030,,,1.001
RELAY_2030_122,RELAY_HUB,2030,,,
RELAY_2030_165,RELAY_HUB,2030,,,
METRO_IT_caserta,PERI_URBAN_HUB,2030,,,1.0
METRO_DE_berlin,PERI_URBAN_HUB,2030,,,1.0
RELAY_2030_97,RELAY_HUB,2030,,,
METRO_PL_warsaw,PERI_URBAN_HUB,2030,,,1.0
METRO_FR_nice,PERI_URBAN_HUB,2030,,,1.0
METRO_IT_salerno,PERI_URBAN_HUB,2030,,,1.0
