node_id,node_type,country,cca2,city,lat,lng
NONMETRO_GR,non_metro,Greece,GR,Non-metro,35.23520551755,24.8791778479862
NONMETRO_HR,non_metro,Croatia,HR,Non-metro,44.8456623193112,15.3202248146189
NONMETRO_HU,non_metro,Hungary,HU,Non-metro,47.2293647605571,19.1187905096488
NONMETRO_IE,non_metro,Ireland,IE,Non-metro,53.5052576937023,-7.90580696150875
NONMETRO_IT,non_metro,Italy,IT,Non-metro,42.5705466966734,12.6347917641625
NONMETRO_LT,non_metro,Lithuania,LT,Non-metro,55.2324331627402,23.6465405679031
NONMETRO_LU,non_metro,Luxembourg,LU,Non-metro,49.8083179859778,6.05267118811413
NONMETRO_LV,non_metro,Latvia,LV,Non-metro,56.7615170798039,26.0279505750606
NONMETRO_MT,non_metro,Malta,MT,Non-metro,35.8996152000515,14.4381469511168
NONMETRO_NL,non_metro,Netherlands,NL,Non-metro,52.0795034230981,4.31619134345571
NONMETRO_NO,non_metro,Norway,NO,Non-metro,64.910434887809,12.9864852136161
NONMETRO_PL,non_metro,Poland,PL,Non-metro,52.0117635260241,19.1140545413119
NONMETRO_PT,non_metro,Portugal,PT,Non-metro,39.4949959708664,-8.45385431158596
NONMETRO_RO,non_metro,Romania,RO,Non-metro,46.0741374255557,24.7327820259821
NONMETRO_SE,non_metro,Sweden,SE,Non-metro,62.2653665419369,14.9046391072236
NONMETRO_SI,non_metro,Slovenia,SI,Non-metro,46.1742560518591,14.5512722109926
NONMETRO_SK,non_metro,Slovakia,SK,Non-metro,48.6777273981765,18.7974834518146
